time,seconds_elapsed_x,z_x,y_x,x_x,seconds_elapsed_y,z_y,y_y,x_y,activity
2025-10-31 15:19:08.679372500,0.06937255859375,-0.0743254654049873,-0.1608729912623763,-0.2062819030562415,0.06937255859375,-0.0686442106962204,0.0202705264091491,-0.0142296832054853,still
2025-10-31 15:19:08.689333500,0.07933349609375,-0.0580786794811487,-0.1085889695346355,-0.1472020837085321,0.07933349609375,-0.0872346758842468,0.0051003615371882,0.0039732893928885,still
2025-10-31 15:19:08.699293700,0.089293701171875,-0.0225415021538734,-0.0090823011219501,-0.1147483141482807,0.089293701171875,-0.0877602621912956,-0.0009217369370162,0.0087000858038663,still
2025-10-31 15:19:08.709254400,0.09925439453125,0.0233043032199144,0.0741533237084746,-0.0531818199508357,0.09925439453125,-0.0771140083670616,0.0036043052095919,-0.0044705774635076,still
2025-10-31 15:19:08.719215400,0.10921533203125,0.0749602561771869,0.0995212814599275,-0.0143786265649367,0.10921533203125,-0.0579304695129394,0.0083824535831809,-0.0164390858262777,still
2025-10-31 15:19:08.729175600,0.119175537109375,0.1238905835628509,0.1146308800473809,0.0112693354379851,0.119175537109375,-0.0496267341077327,0.0101449331268668,-0.0326867662370204,still
2025-10-31 15:19:08.739136500,0.129136474609375,0.0850122791141271,0.0693041301116347,-0.0540917013373691,0.129136474609375,-0.0481835603713989,0.0191651564091444,-0.0395984724164009,still
2025-10-31 15:19:08.749096400,0.139096435546875,0.0228904617220163,0.0129947983905673,-0.0658646297827828,0.139096435546875,-0.0519205071032047,0.029639633372426,-0.0400296375155448,still
2025-10-31 15:19:08.759057400,0.149057373046875,0.0155734167069196,0.0048734512552618,-0.0653871027983725,0.149057373046875,-0.0569779090583324,0.0269450806081295,-0.0407225675880909,still
2025-10-31 15:19:08.769018400,0.159018310546875,0.0524608395993709,0.0504667431727051,-0.0426227242745924,0.159018310546875,-0.0589779503643512,0.0077724512666463,-0.0354934483766555,still
2025-10-31 15:19:08.778978600,0.168978515625,0.092278470724821,0.08050298499614,0.0069849726496729,0.168978515625,-0.062198705971241,-0.0195845421403646,-0.0242876932024955,still
2025-10-31 15:19:08.788939500,0.178939453125,0.0355202261924743,0.0796986828759312,0.0322204083289485,0.178939453125,-0.0662339255213737,-0.0205137189477682,-0.0126283755525946,still
2025-10-31 15:19:08.798899500,0.1888994140625,-0.0954483329325914,0.1122016070738434,-0.0008162117537111,0.1888994140625,-0.0612570531666278,0.0046406909823417,-0.00382820982486,still
2025-10-31 15:19:08.808860400,0.1988603515625,-0.0461468341469764,0.1537254575952887,-0.0209022013810928,0.1988603515625,-0.0499047935009002,0.0179455764591693,-0.0120512517169117,still
2025-10-31 15:19:08.818821400,0.2088212890625,0.1404711314857006,0.1502002060785889,0.0197128363328985,0.2088212890625,-0.0437572076916694,0.0026042987592518,-0.0249465219676494,still
2025-10-31 15:19:08.828781600,0.218781494140625,0.1472866567194461,0.0889154240325093,0.0332621359342243,0.218781494140625,-0.0426538586616516,-0.0087748561054468,-0.0282371249049901,still
2025-10-31 15:19:08.838742500,0.228742431640625,0.1092635077953338,0.0274985400393605,0.0461649634587112,0.228742431640625,-0.0466765314340591,-0.0136395348235964,-0.0293940138071775,still
2025-10-31 15:19:08.848702500,0.238702392578125,0.1247714580506086,0.0078211951449513,0.0528440302306786,0.238702392578125,-0.04535773396492,-0.0284568294882774,-0.0367816239595413,still
2025-10-31 15:19:08.858663700,0.24866357421875,0.1493248845487833,0.0454439465746283,0.1251259157777763,0.24866357421875,-0.0326981246471405,-0.0473651774227619,-0.0483621172606945,still
2025-10-31 15:19:08.868624400,0.258624267578125,0.1162415301144123,0.0610533113777637,0.0982049472975079,0.258624267578125,-0.0216968730092048,-0.0644379034638404,-0.0570259131491184,still
2025-10-31 15:19:08.878584300,0.268584228515625,-0.0224865570962429,0.0302571910977363,0.0467103589144069,0.268584228515625,-0.0229900646954774,-0.0560292936861515,-0.057676538825035,still
2025-10-31 15:19:08.888545500,0.278545654296875,-0.2171890449851751,0.01316694008708,-0.032883566679107,0.278545654296875,-0.0324850305914878,-0.0303431041538715,-0.0561729185283184,still
2025-10-31 15:19:08.898505500,0.28850537109375,-0.3182978878974914,0.0118006201699376,-0.0638967272432986,0.28850537109375,-0.0387349873781204,-0.0023229643702507,-0.0409721061587333,still
2025-10-31 15:19:08.908466700,0.298466796875,-0.2888461679637432,0.0646378918662667,-0.0304106554932426,0.298466796875,-0.0383054167032241,0.0078324675559997,-0.0293993391096591,still
2025-10-31 15:19:08.918427400,0.308427490234375,-0.1699327882915735,0.1334296885415911,0.034996978636505,0.308427490234375,-0.0296828765422105,-0.0024856617674231,-0.0284166447818279,still
2025-10-31 15:19:08.928387300,0.31838720703125,-0.1258960781663656,0.1337888772428035,0.0948066740281879,0.31838720703125,-0.013232797384262,-0.0127870356664061,-0.0222085490822792,still
2025-10-31 15:19:08.938348500,0.3283486328125,-0.2143196270287036,0.1235328561663627,0.0911744184730574,0.3283486328125,-0.0007678568363189,-0.01721434853971,-0.0157424006611108,still
2025-10-31 15:19:08.948308500,0.33830859375,-0.2535556588739157,0.1044908865660429,0.0562298002114519,0.33830859375,0.0108011811971664,-0.010535673238337,-0.0041821505874395,still
2025-10-31 15:19:08.958269700,0.348269775390625,-0.2598807702422142,0.0657692339837551,0.0171268292945344,0.348269775390625,0.0188518464565277,-0.0081684542819857,0.0098013384267687,still
2025-10-31 15:19:08.968230400,0.35823046875,-0.2296259172320365,0.020158698670566,-0.0076330886943265,0.35823046875,0.0174073465168476,-0.0023859324865043,0.0197146888822317,still
