time,seconds_elapsed_x,az,ay,ax,seconds_elapsed_y,gz,gy,gx,activity
2025-10-27 21:20:00,0.053548096,-0.087117727,0.421243079,0.235255557,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.058677979,0.061596332,0.007082433,-0.049209838,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.068637207,0.039278702,-0.014463264,-0.070102806,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.078594971,0.027936639,-0.009217472,-0.045196109,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.088553955,0.036949382,0.002179974,-0.018147359,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.098513428,0.039248891,0.00818053,0.017611827,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.108472412,0.050991352,-0.000840616,-0.014839988,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.118429932,0.063020812,-0.022162513,-0.045030069,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.128389404,0.043217795,-0.032038156,-0.05058657,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.138348389,0.0312614,-0.024826544,-0.010446429,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.148307129,0.026868718,-0.007006445,0.016121808,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.158265381,0.014166473,0.009813392,-0.008004224,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.048718994,0.074358783,0.024484745,-0.031006256,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.168224365,0.059104515,0.013416604,-0.026527759,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.18814209,0.125619599,0.009580606,-0.051742462,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.198099854,0.130868606,-0.008249211,-0.057822988,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
2025-10-27 21:20:00,6.208059082,0.071479428,-0.013001009,-0.022854477,9.1558479,-0.035117868,0.033631422,-0.053141192,standing
